거래번호,거래일자,계정과목,거래처,금액,적요,담당자,승인자,이상여부,이상유형
TXN0000005762,2025-04-06,여비교통비,(주) 마루반도체,170630,교통비,서준서,이지영,0,
TXN0000008252,2025-06-14,접대비,(유) 중앙마루플랫폼,85066,거래처 접대,김수진,김성진,0,
ANO0000000231,2025-05-20,매입,주식회사 미래금고,5000000,물품 구매,김영호,이성민,1,라운드 금액
TXN0000004313,2025-01-29,여비교통비,유한회사 이노,178984,숙박비,이재현,한우진,0,
TXN0000007948,2025-01-13,매입,유한회사 네오,1082351,소모품 구매,김미정,조순옥,0,
ANO0000000560,2025-03-06,접대비,특정거래처,96284,소액 접대,김철수,최성진,1,빈번한 소액거래
TXN0000003594,2025-08-30,현금,유한회사 에코,3292448,소액 경비,남은영,백정식,0,
ANO0000000532,2025-12-01,접대비,동일거래처,450000,거래처 접대,김예원,최숙자,1,중복거래
TXN0000000487,2025-05-20,급여,주식회사 코리아시스템즈,4530242,급여 지급,배예지,곽현주,0,
TXN0000001616,2025-09-13,매출,(주) 라온,9877484,용역 제공,박준혁,김영미,0,
TXN0000005067,2025-03-23,임차료,주식회사 씨앤씨코리아테크,1171656,창고 임차료,차정호,나준서,0,
TXN0000004178,2025-03-27,접대비,유한회사 에코자동차,162736,거래처 접대,이민재,김도현,0,
ANO0000000829,2025-10-09,접대비,동일거래처,450000,거래처 접대,김현주,류동현,1,중복거래
TXN0000005403,2025-12-03,임차료,주식회사 인포랩스,566942,사무실 임차료,김민석,구재호,0,
TXN0000001569,2025-08-19,매출,유한회사 한가람고구려센터,2639401,수수료 수입,이영수,김민서,0,
TXN0000005203,2025-06-23,현금,유한회사 네오플랫폼,1626589,현금 입금,최정수,민아름,0,
TXN0000000390,2025-06-30,여비교통비,(유) 나루엔지니어링,98447,숙박비,김예지,노채원,0,
TXN0000005679,2025-06-16,매입,유한회사 가람,1189289,원재료 구매,박서윤,박지혜,0,
ANO0000000945,2025-10-17,접대비,동일거래처,450000,거래처 접대,김승현,박수민,1,중복거래
ANO0000000474,2025-11-15,여비교통비,(유) 에코,9902726,출장비,안예은,차영환,1,비정상적 금액
TXN0000005837,2025-09-09,접대비,유한회사 모두코리아은행,242338,회식비,김준서,박혜진,0,
TXN0000004057,2025-11-26,임차료,(유) 발해보람에이아이,986183,사무실 임차료,박정남,진성진,0,
TXN0000006501,2025-01-09,매출,유한회사 아름,4443177,제품 판매,주현지,이준서,0,
TXN0000002744,2025-05-08,여비교통비,주식회사 국민기술,106214,숙박비,김준영,심서영,0,
TXN0000007532,2025-02-19,급여,유한회사 보람겨레소프트,4352400,상여금 지급,김주원,서미경,0,
TXN0000003734,2025-03-01,급여,(유) 마음,2721394,급여 지급,곽순옥,고영수,0,
TXN0000001535,2025-10-25,여비교통비,(유) 미래,60373,출장비,이예준,문은지,0,
TXN0000002069,2025-08-30,매입,(유) 가야개발공사,3335369,원재료 구매,양예준,박채원,0,
TXN0000003119,2025-08-06,급여,(유) 푸른,4798173,급여 지급,이은서,이정숙,0,
ANO0000000509,2025-11-01,현금,주식회사 시너지뷰티,536316,긴급 지출,이영호,서현정,1,주말 거래
TXN0000004521,2025-07-20,임차료,주식회사 한강엔지니어링,661062,창고 임차료,박건우,김건우,0,
TXN0000004971,2025-02-26,접대비,(주) 코어솔루션,388740,회식비,손현정,박도윤,0,
TXN0000001239,2025-03-04,현금,주식회사 유니온,3639935,현금 입금,서유진,최현지,0,
TXN0000007254,2025-08-29,매출,(주) 씨앤씨,8560407,제품 판매,윤서영,성준서,0,
TXN0000001476,2025-12-21,현금,(주) 글로벌씨앤씨테크,2288622,소액 경비,이정훈,백미경,0,
TXN0000003313,2025-07-07,매입,유한회사 우리랩스,1694217,원재료 구매,김재호,이민준,0,
TXN0000002674,2025-12-15,매출,주식회사 중앙개발,4948632,제품 판매,이정남,하정숙,0,
